sourcePath,url,rule,page,context,status,contextReview,reviewNote
assets/downloads/08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,1,"llen und die Entwicklungsgeschichte zugänglich. Es ist kein aktueller fachlicher Maßstab und keine Grundlage für reale Entscheidungen. Was daran nicht mehr gilt Verweise auf einen Transformationsmultiplikator sind verworfen. Im aktuellen Rechenstandard ist transformative Wirkung ein separat belegter und diskontierter Nettonutzenstrom, kein Aufschlagsfaktor. Die aktuelle T-SROI-Rechnung verwendet keine freien Transformations-, Resilienz- oder Da",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,1,"nsmultiplikator sind verworfen. Im aktuellen Rechenstandard ist transformative Wirkung ein separat belegter und diskontierter Nettonutzenstrom, kein Aufschlagsfaktor. Die aktuelle T-SROI-Rechnung verwendet keine freien Transformations-, Resilienz- oder Datenqualitätsmultiplikatoren. Datenqualität, Unsicherheit und Resilienz werden dokumentiert, geprüft und in Sensitivitäten behandelt. Ein positiver Wert setzt eine abgegrenzte, kausal belegte Bilanz und ein offenes Schutz-Gate voraus. Wohin für den aktuellen S",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,7,"s, WÖk-ID-Register Rote Linien Welche Schäden sind nicht kompensierbar? Reverse Merit Order, Wirkungsgrenzen Transformation Verändert das Unternehmen Pfade, Standards oder Märkte? T-SROI, Transformationsmultiplikator Datenqualität Wie belastbar, aktuell und auditierbar sind Daten? Datenqualitätsstufe, Assurance-Status Kapitalwirkung Welche Wirkung erzeugen Kapitalflüsse? Portfolio-Wirkungsrating, Wirkungskreditprüfung 10. Stranded Assets: alte un",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,1,"Fundstellen und die Entwicklungsgeschichte zugänglich. Es ist kein aktueller fachlicher Maßstab und keine Grundlage für reale Entscheidungen. Was daran nicht mehr gilt Die frühere multiplikative T-SROI-Formel mit Transformations-, Resilienz- oder Datenqualitätsaufschlägen ist verworfen. Im T-SROI-Rechenstandard v1.1 ist transformative Wirkung ein separat belegter und diskontierter Nettonutzenstrom, kein Aufschlagsfaktor. Der aktuelle Rec",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,3,". Warum ROI und SROI nicht reichen 3. Definition des T-SROI 4. Wirkungsebenen: Output, Outcome, Impact, Transformation 5. Berechnungslogik 6. Netto-Wirkung und Negativwirkungen 7. Transformationsmultiplikator 8. Daten, Scorecards und Monetarisierung 9. Anwendungsfelder 10. T-SROI im Unternehmen 11. T-SROI im Staat und in Wirkungsfonds 12. Grenzen, Unsicherheit und Assurance 13. Politische Anschlussfähigkeit 14. SDG-/SDG+-Bezug 15. Website- und ",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,5,"e Wirkungen abgezogen, rote Linien geprüft und Datenqualität bewertet. Erst auf dieser Grundlage wird ein monetärer oder teilmonetärer Wirkungswert gebildet. Anschließend wird der Transformationsmultiplikator angewandt. Eine vereinfachte Arbeitsformel lautet: T-SROI = (geprüfte Netto-Wirkung × Transformationsmultiplikator × Resilienzfaktor × Datenqualitätsvertrauen) / Ressourceneinsatz. Diese Formel ist kein starres Gesetz. Sie beschreibt die L",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,5,dieser Grundlage wird ein monetärer oder teilmonetärer Wirkungswert gebildet. Anschließend wird der Transformationsmultiplikator angewandt. Eine vereinfachte Arbeitsformel lautet: T-SROI = (geprüfte Netto-Wirkung × Transformationsmultiplikator × Resilienzfaktor × Datenqualitätsvertrauen) / Ressourceneinsatz. Diese Formel ist kein starres Gesetz. Sie beschreibt die Logik. Je nach Anwendungsfeld können die Faktoren anders operationalisiert werden. Entscheidend ist: Ohne gepr,CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,6,"t. Sie sind Teil der Berechnung. Schwere negative Wirkungen begrenzen oder verhindern einen positiven T-SROI. Damit schützt der T-SROI vor Wirkungs- Simulation und Impact-Washing. Transformationsmultiplikator Der Transformationsmultiplikator ist das Kernmerkmal des T-SROI. Er beschreibt, ob eine Maßnahme über ihre direkte Wirkung hinaus Systempfade verändert. Ein Projekt mit mäßiger direkter Wirkung kann hohen Transformationswert haben, wenn es",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,6,"Schwere negative Wirkungen begrenzen oder verhindern einen positiven T-SROI. Damit schützt der T-SROI vor Wirkungs- Simulation und Impact-Washing. Transformationsmultiplikator Der Transformationsmultiplikator ist das Kernmerkmal des T-SROI. Er beschreibt, ob eine Maßnahme über ihre direkte Wirkung hinaus Systempfade verändert. Ein Projekt mit mäßiger direkter Wirkung kann hohen Transformationswert haben, wenn es einen neuen Standard setzt. Umge",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,6,"enkung Verschiebt es Investitionsflüsse? 1,0 bis 2,0 Resilienz Reduziert es Systemrisiken und Reparaturkosten? 1,0 bis 1,8 rote Linien Gibt es nicht kompensierbare Negativwirkung? Multiplikator deckeln oder T-SROI verweigern Daten, Scorecards und Monetarisierung T-SROI braucht Daten, aber nicht jede Wirkung lässt sich seriös monetarisieren. Manche Wirkungen können in Euro ausgedrückt werden: vermiedene Energiekosten, CO2-Preise, Gesundheitskosten, Ausfallzeiten, Sanierungsersparnisse. Andere Wirkungen si",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0 2.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.2.pdf,TRANSFORMATION_MULTIPLIER,7,"ltslogik getroffen werden. Grenzen, Unsicherheit und Assurance T-SROI ist anspruchsvoll und anfällig für Überdehnung. Wer alles monetarisieren will, erzeugt Scheingenauigkeit. Wer Transformationsmultiplikatoren frei setzt, erzeugt Impact-Washing. Wer Unsicherheit verschweigt, verliert Vertrauen. Deshalb braucht T-SROI eine Qualitätssystematik: Annahmen offenlegen, Datenqualität bewerten, Gegenwirkungen prüfen, rote Linien beachten, externe Assu",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.pdf,TRANSFORMATION_MULTIPLIER,1,"Fundstellen und die Entwicklungsgeschichte zugänglich. Es ist kein aktueller fachlicher Maßstab und keine Grundlage für reale Entscheidungen. Was daran nicht mehr gilt Die frühere multiplikative T-SROI-Formel mit Transformations-, Resilienz- oder Datenqualitätsaufschlägen ist verworfen. Im T-SROI-Rechenstandard v1.1 ist transformative Wirkung ein separat belegter und diskontierter Nettonutzenstrom, kein Aufschlagsfaktor. Der aktuelle Rec",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
assets/downloads/23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.pdf,https://github.com/sustynats/wirkungsoekonomie.de/releases/download/woek-public-assets-v2/assets__downloads__23_woek_impact_controlling_t_sroi_transformationsmessung_methodenpapier_v1_0.pdf,TRANSFORMATION_MULTIPLIER,3,". Warum ROI und SROI nicht reichen 3. Definition des T-SROI 4. Wirkungsebenen: Output, Outcome, Impact, Transformation 5. Berechnungslogik 6. Netto-Wirkung und Negativwirkungen 7. Transformationsmultiplikator 8. Daten, Scorecards und Monetarisierung 9. Anwendungsfelder 10. T-SROI im Unternehmen 11. T-SROI im Staat und in Wirkungsfonds 12. Grenzen, Unsicherheit und Assurance 13. Politische Anschlussfähigkeit 14. SDG-/SDG+-Bezug 15. Website- und ",CONTEXT_REVIEWED,EXISTING_HISTORICAL_COVER,Vorgeschaltete historische Einordnung verwirft alte Multiplikatorlogik und verweist auf den aktuellen Standard.
